codmun6;estabelecimentomunicipio-jul2018;total-estab-2018;atencao-primaria;atencao-secundaria;atencao-terciaria;total-estab-2023;atencao-primaria;atencao-secundaria;atencao-terciaria;aumentototal;aumento-primaria;aumentosecundaria;aumento-terciaria
171200;171200 LAJEADO;5;3;0;2;6;4;0;2;20%;33%;100%;0%
171215;171215 LAVANDEIRA;3;2;0;1;5;4;0;1;67%;100%;100%;0%
171240;171240 LIZARDA;4;3;0;1;4;3;0;1;0%;0%;100%;0%
171245;171245 LUZINOPOLIS;4;3;0;1;4;2;1;1;0%;-33%;100%;0%
171250;171250 MARIANOPOLIS DO TOCANTINS;5;3;1;1;8;4;2;2;60%;33%;100%;100%
171270;171270 MATEIROS;3;2;0;1;4;3;0;1;33%;50%;100%;0%
171280;171280 MAURILANDIA DO TOCANTINS;6;5;0;1;6;5;0;1;0%;0%;100%;0%
171320;171320 MIRACEMA DO TOCANTINS;24;16;6;2;23;13;8;2;-4%;-19%;33%;0%
171330;171330 MIRANORTE;16;9;4;3;27;19;5;3;69%;111%;25%;0%
171360;171360 MONTE DO CARMO;7;5;0;2;8;6;0;2;14%;20%;100%;0%
171370;171370 MONTE SANTO DO TOCANTINS;4;3;0;1;4;3;0;1;0%;0%;100%;0%
171380;171380 PALMEIRAS DO TOCANTINS;3;2;0;1;5;3;1;1;67%;50%;100%;0%
171395;171395 MURICILANDIA;3;2;0;1;3;2;0;1;0%;0%;100%;0%
171420;171420 NATIVIDADE;11;8;1;2;15;8;5;2;36%;0%;400%;0%
171430;171430 NAZARE;8;4;2;2;8;5;2;1;0%;25%;0%;-50%
171488;171488 NOVA OLINDA;11;6;4;1;10;5;4;1;-9%;-17%;0%;0%
171500;171500 NOVA ROSALANDIA;4;3;1;0;4;3;0;1;0%;0%;-100%;100%
171510;171510 NOVO ACORDO;5;3;0;2;5;3;0;2;0%;0%;100%;0%
171515;171515 NOVO ALEGRE;5;3;1;1;5;3;1;1;0%;0%;0%;0%
171525;171525 NOVO JARDIM;3;2;0;1;3;2;0;1;0%;0%;100%;0%
171550;171550 OLIVEIRA DE FATIMA;3;2;0;1;3;2;0;1;0%;0%;100%;0%
171570;171570 PALMEIRANTE;3;2;0;1;4;3;0;1;33%;50%;100%;0%
171575;171575 PALMEIROPOLIS;10;6;2;2;18;10;6;2;80%;67%;200%;0%
171610;171610 PARAISO DO TOCANTINS;56;29;22;5;89;45;39;5;59%;55%;77%;0%
171620;171620 PARANA;8;6;0;2;9;4;2;3;13%;-33%;100%;50%
171630;171630 PAU D'ARCO;3;2;0;1;4;2;1;1;33%;0%;100%;0%
171650;171650 PEDRO AFONSO;12;6;4;2;21;10;9;2;75%;67%;125%;0%
171660;171660 PEIXE;9;6;1;2;12;8;2;2;33%;33%;100%;0%
171665;171665 PEQUIZEIRO;6;4;1;1;8;5;2;1;33%;25%;100%;0%
171670;171670 COLMEIA;12;7;3;2;13;7;4;2;8%;0%;33%;0%
171700;171700 PINDORAMA DO TOCANTINS;6;4;0;2;7;5;0;2;17%;25%;100%;0%
171720;171720 PIRAQUE;5;3;1;1;5;3;1;1;0%;0%;0%;0%
171750;171750 PIUM;10;6;2;2;11;7;2;2;10%;17%;0%;0%
171780;171780 PONTE ALTA DO BOM JESUS;5;3;1;1;5;3;1;1;0%;0%;0%;0%
171790;171790 PONTE ALTA DO TOCANTINS;3;1;0;2;5;2;1;2;67%;100%;100%;0%
